# Class red_S0 blue_S0 green_S0 nir_wide_S0 nir_S0 swir_1_S0 swir_2_S0 red_edge_1_S0 red_edge_2_S0 red_edge_3_S0 EVI_S0 edev_S0 sdev_S0 bcdev_S0 NDVI_S0 LAI_S0 MNDWI_S0 evi_10_S0 evi_50_S0 evi_90_S0 evi_range_S0 evi_std_S0 rainclim_min_S0 rainclim_mean_S0 rainclim_max_S0 rainclim_range_S0 rainclim_std_S0 f_mean_n1_S0 f_mean_n2_S0 f_mean_n3_S0 f_std_n1_S0 f_std_n2_S0 f_std_n3_S0 f_median_n1_S0 f_median_n2_S0 f_median_n3_S0 abs_change_S0 mean_change_S0 median_change_S0 discordance_S0 complexity_S0 central_diff_S0 slope mrvbf mrrtf
1.000000 0.079694 0.055043 0.074467 0.200576 0.222165 0.252825 0.194085 0.113525 0.178724 0.199777 0.275859 1.888567 4.091647 2.277699 0.469109 0.880056 -0.546183 0.125082 0.280872 0.404953 0.279739 0.111453 1.083725 76.649651 162.591309 161.507584 50.132370 1.840734 0.479860 0.431933 1.448166 0.204829 0.204917 1.296468 0.438867 0.381401 0.025973 -0.000630 0.000000 -0.000413 11.739379 0.000595 1.317616 5.000000 1.000000
1.000000 0.166488 0.078971 0.118121 0.275407 0.301737 0.357187 0.280162 0.213463 0.258963 0.280584 0.200148 1.851249 4.568895 2.482655 0.289057 0.606135 -0.502972 0.115432 0.175475 0.454689 0.324038 0.127824 0.177680 69.819084 147.862869 147.685196 56.229164 3.997889 1.436743 1.198199 3.799930 0.308687 0.314909 2.205754 1.477172 1.342195 0.031147 0.001930 0.000000 0.004608 40.753830 -0.000074 0.953436 2.000000 1.000000
1.000000 0.066090 0.046568 0.061347 0.177069 0.193159 0.233934 0.181620 0.097105 0.152961 0.171471 0.252592 1.817980 3.613130 2.056320 0.483168 0.795877 -0.584171 0.106128 0.246807 0.487829 0.381656 0.140835 1.083725 76.649651 162.591309 161.507584 50.132370 2.393079 0.510088 0.425534 1.851803 0.210914 0.171239 1.920427 0.485154 0.376615 0.027413 0.003084 0.000000 -0.003677 8.299088 0.000533 2.357023 4.000000 0.000000
1.000000 0.098588 0.059085 0.079306 0.197870 0.213845 0.295295 0.254844 0.130042 0.175435 0.193568 0.209867 2.179527 4.578594 2.560628 0.365557 0.641297 -0.578737 0.104491 0.207942 0.335049 0.230558 0.084764 1.083725 76.649651 162.591309 161.507584 50.132370 1.533921 0.197297 0.369916 0.929823 0.080710 0.114275 1.713562 0.195189 0.361356 0.026956 0.000300 0.000000 -0.003500 19.485304 0.000464 3.584302 4.000000 4.000000
1.000000 0.156660 0.064321 0.099465 0.244432 0.267426 0.374178 0.324103 0.195748 0.230868 0.249232 0.159483 1.833298 4.900270 2.384439 0.261189 0.459010 -0.583653 0.106448 0.150752 0.366622 0.261429 0.110061 0.172040 71.034630 153.936554 153.764511 56.316158 2.965857 1.170277 0.962065 3.183447 0.536644 0.395216 1.531165 1.282450 1.061942 0.026819 0.003108 0.000000 -0.021543 40.104931 0.000930 5.335937 2.000000 0.000000
1.000000 0.148331 0.066541 0.101739 0.256627 0.269217 0.331286 0.263849 0.196644 0.241640 0.260063 0.182041 2.181353 5.000184 2.723623 0.289515 0.540625 -0.530100 0.108365 0.169224 0.310874 0.202510 0.079007 0.177680 69.819084 147.862869 147.685196 56.229164 2.659672 0.572278 0.425725 1.628243 0.340483 0.147562 1.731505 0.456867 0.449375 0.018103 0.000522 0.000000 -0.000176 35.541969 0.000041 1.666667 2.000000 3.000000
1.000000 0.101066 0.064352 0.083882 0.204869 0.226794 0.295946 0.244020 0.133489 0.183786 0.203477 0.227312 1.923322 3.919551 2.314721 0.374815 0.704417 -0.554986 0.126331 0.222674 0.405885 0.280822 0.107593 1.083725 76.649651 162.591309 161.507584 50.132370 1.871365 0.469818 0.303388 1.493583 0.125286 0.118335 1.191206 0.464531 0.363198 0.027911 0.001206 0.000000 -0.006727 11.874020 0.000073 3.584302 2.000000 1.000000
1.000000 0.148568 0.085184 0.113451 0.260471 0.291173 0.416062 0.354897 0.186754 0.238654 0.262367 0.230947 2.434164 5.892716 3.090684 0.324294 0.717566 -0.572393 0.189654 0.230344 0.395187 0.205534 0.086694 16.842232 95.103668 190.267136 173.424896 47.947392 1.761198 0.433623 0.421020 1.190100 0.163549 0.236485 1.009449 0.359328 0.424936 0.028612 0.001586 0.000000 -0.022208 17.331909 -0.000000 0.589256 3.000000 0.000000
1.000000 0.172318 0.093343 0.128264 0.302704 0.322954 0.457719 0.391221 0.219921 0.274798 0.298168 0.226905 2.307466 5.932149 3.115766 0.303705 0.702943 -0.560636 0.169348 0.226240 0.317200 0.149244 0.060476 16.842232 95.103668 190.267136 173.424896 47.947392 1.047943 0.447806 0.279817 0.715945 0.256682 0.080457 0.825064 0.496468 0.308535 0.022262 0.001699 0.000000 -0.014459 23.993893 -0.000375 2.699462 1.000000 1.500000
1.000000 0.134728 0.067377 0.101229 0.291707 0.309604 0.377898 0.294006 0.178384 0.256113 0.283309 0.271100 2.376817 5.904578 3.038659 0.393569 0.862838 -0.577443 0.172172 0.275996 0.327474 0.155302 0.096714 20.398441 90.946892 236.951477 216.553040 58.536572 3.336756 0.586137 0.585173 1.717875 0.153206 0.254277 2.918182 0.510653 0.633001 0.027214 0.001303 0.000000 0.072761 15.425586 -0.000000 6.588078 1.000000 0.000000
